Product_Title,Price,Shop_Name,Category,Availability,G-Price
DAREU X TTC VIOLET GOLD V2 SWITCH (TACTILE),1200,TECHLAND,Keyboard,In Stock,1200
DAREU X TTC SKY BLUE V2 SWITCH (LINEAR),1200,TECHLAND,Keyboard,In Stock,1200
AULA F2066-II MECHANICAL WIRED GAMING KEYBOARD,2100,TECHLAND,Keyboard,In Stock,2100
REDRAGON K551RGB MITRA RGB BACKLIT BLUE SWITCHES MECHANICAL KEYBOARD,4050,TECHLAND,Keyboard,In Stock,4050
LOGITECH G213 PRODIGY RGB GAMING KEYBOARD,5099,TECHLAND,Keyboard,In Stock,5099
LOGITECH MK235 WIRELESS KEYBOARD AND MOUSE COMBO,2600,TECHLAND,Keyboard,In Stock,2600
RAPOO V500 SE MIXED LIGHT 104 KEYS METAL WIRED MECHANICAL KEYBOARD,2500,TECHLAND,Keyboard,In Stock,2500
MUMRE WRANGLER K100 RAINBOW RGB MECHANICAL KEYBOARD WHITE (BLUE SWITCH),1599,TECHLAND,Keyboard,In Stock,1599
LOGITECH MK240 NANO MOUSE AND KEYBOARD COMBO,2600,TECHLAND,Keyboard,In Stock,2600
LOGITECH K375S MULTI-DEVICE WIRELESS KEYBOARD AND STAND COMBO,2869,TECHLAND,Keyboard,In Stock,2869
LOGITECH MK275 WIRELESS COMBO WITH KEYBOARD AND MOUSE,2799,TECHLAND,Keyboard,In Stock,2799
REDRAGON K512 SHIVA RGB MEMBRANE GAMING KEYBOARD,2650,TECHLAND,Keyboard,In Stock,2650
REDRAGON HORUS K618 RGB WIRELESS MECHANICAL GAMING KEYBOARD,5700,TECHLAND,Keyboard,In Stock,5700
REDRAGON K565R-1 RUDRA BACKLIT MECHANICAL GAMING KEYBOARD,3050,TECHLAND,Keyboard,In Stock,3050
REDRAGON K588 PRO BROADSWORD RGB MECHANICAL GAMING KEYBOARD,5200,TECHLAND,Keyboard,In Stock,5200
AULA F2058 RGB MECHANICAL GAMING KEYBOARD,2400,TECHLAND,Keyboard,In Stock,2400
XTRIKE ME KB-508 GAMING KEYBOARD AND GMP-290 RGB GAMING MOUSE & MOUSE PAD COMBO,2350,STARTECH,Keyboard,In Stock,2350
XTRIKE ME KB-508 GAMING KEYBOARD AND GM-512 RGB GAMING MOUSE COMBO,2650,STARTECH,Keyboard,In Stock,2650
XTRIKE ME KB-508 GAMING KEYBOARD AND GM-414 RGB GAMING MOUSE COMBO,2650,STARTECH,Keyboard,In Stock,2650
XTRIKE ME KB-508 GAMING KEYBOARD AND GM-310 RGB GAMING MOUSE COMBO,2700,STARTECH,Keyboard,In Stock,2700
LOGITECH MK200 WIRED MOUSE & KEYBOARD COMBO,1299,STARTECH,Keyboard,In Stock,1299
HAVIT KB329 WIRED USB MINI KEYBOARD BLACK,420,STARTECH,Keyboard,In Stock,420
ASTRUM KB080 USB WIRED SLIM KEYBOARD,450,STARTECH,Keyboard,In Stock,450
MICROPACK K2208 USB MINI KEYBOARD,775,STARTECH,Keyboard,In Stock,775
MICROPACK K-206 USB KEYBOARD,690,STARTECH,Keyboard,In Stock,690
MICROPACK K203 BASIC USB KEYBOARD,690,STARTECH,Keyboard,In Stock,690
ASTRUM KB170 USB WIRED SLIM KEYBOARD,750,STARTECH,Keyboard,In Stock,750
FANTECH K210 SILENT MULTIMEDIA USB OFFICE USE KEYBOARD BLACK,600,STARTECH,Keyboard,In Stock,600
MICROPACK KM-2003 COMBO KEYBOARD & MOUSE,1350,STARTECH,Keyboard,In Stock,1350
IMICE GK-480 4 IN 1 GAMING KIT COMBO,2365,STARTECH,Keyboard,In Stock,2365
IMICE AK-800 USB RGB GAMING KEYBOARD,750,STARTECH,Keyboard,In Stock,750
