Product_Title,Price,Shop_Name,Category,Availability,G-Price
VIEWSONIC VA1903H 18.5" LED MONITOR (HDMI VGA),9900,STARTECH,Monitor,In Stock,9900
PHILIPS 18.5" 193V5LSB2 LED MONITOR,10000,STARTECH,Monitor,In Stock,10000
LG 19M38A 18.5 INCH MONITOR,10000,STARTECH,Monitor,In Stock,10000
ACER EB192Q 18.5 INCH HD MONITOR,10000,STARTECH,Monitor,In Stock,10000
PHILIPS 18.5" 193V5LHSB2 LED MONITOR WITH HDMI,10200,STARTECH,Monitor,In Stock,10200
DELL E1916HV 18.5 INCH LED MONITOR (VGA),10300,STARTECH,Monitor,In Stock,10300
HP V19 18.5 INCH HD MONITOR,10400,STARTECH,Monitor,In Stock,10400
HP P19V G4 18.5" HD MONITOR,10500,STARTECH,Monitor,In Stock,10500
LENOVO D19-10 18.5 INCH HD HDMI VGA MONITOR,10800,STARTECH,Monitor,In Stock,10800
DELL E2016HV 19.5" LED MONITOR,10900,STARTECH,Monitor,In Stock,10900
DELL D1918H 18.5 INCH LED MONITOR (VGA HDMI),10900,STARTECH,Monitor,In Stock,10900
HP P204V 19.5 INCH HD LED MONITOR (HDMI VGA),11500,STARTECH,Monitor,In Stock,11500
LENOVO D20-20 19.5 INCH LCD MONITOR (HDMI VGA),11800,STARTECH,Monitor,In Stock,11800
HP V22V 21.5" FHD LED MONITOR,13500,STARTECH,Monitor,In Stock,13500
HUNTKEY RRB2211E/H 21.5-INCH FHD LED MONITOR,13500,STARTECH,Monitor,In Stock,13500
LG 22MP400-B 22-INCH FULL HD MONITOR,13700,STARTECH,Monitor,In Stock,13700
LG 22MK430H-B 22" FULL HD IPS LED MONITOR WITH AMD FREESYNC,14000,STARTECH,Monitor,In Stock,14000
DELL SE2222H 21.5" FHD MONITOR,14000,STARTECH,Monitor,In Stock,14000
VIEWSONIC VA2215-H 22" FULL HD MONITOR,14000,STARTECH,Monitor,In Stock,14000
ACER HA220Q 21.5 INCH IPS FULL HD MONITOR,14200,STARTECH,Monitor,In Stock,14200
XIAOMI REDMI 1A 23.8" FULL HD MONITOR,14000,TECHLAND,Monitor,In Stock,14000
ASUS VZ24EHE 23.8 INCH FULL HD IPS 75HZ EYE CARE MONITOR,21500,TECHLAND,Monitor,In Stock,21500
BENQ GW2280 22 INCH LED BACKLIGHT EYE CARE STYLISH MONITOR,14200,TECHLAND,Monitor,In Stock,14200
LG 22MK600M 22 INCH IPS BORDERLESS FULL HD MONITOR,16200,TECHLAND,Monitor,In Stock,16200
WALTON WD238V03 23.8 INCH FULL HD LED BACKLIGHT MONITOR WITH BUILT-IN SPEAKER,14000,TECHLAND,Monitor,In Stock,14000
SAMSUNG ODYSSEY G7 C27G75TQSW 27 INCH 240HZ CURVED QLED G-SYNC GAMING MONITOR,62500,TECHLAND,Monitor,In Stock,62500
HP V22 21.5 INCH LED FULL HD MONITOR,13800,TECHLAND,Monitor,In Stock,13800
ASUS VA249HE EYE CARE 23.8 INCH 60HZ FLICKER FREE FULL HD MONITOR,21000,TECHLAND,Monitor,In Stock,21000
ASUS VA229HR EYE CARE 21.5 INCH 75HZ FLICKER FREE FULL HD IPS MONITOR,16200,TECHLAND,Monitor,In Stock,16200
ASUS PROART DISPLAY PA278QV 27 INCH WQHD IPS MONITOR,51500,TECHLAND,Monitor,In Stock,51500
DELL D1918H 18.5 INCH LED MONITOR,10900,TECHLAND,Monitor,In Stock,10900
GIGABYTE M32U 31.5 INCH 4K 144HZ FREESYNC IPS GAMING MONITOR,63000,TECHLAND,Monitor,In Stock,63000
GIGABYTE G32QC-EK 32INCH 165HZ CURVED GAMING MONITOR,43000,TECHLAND,Monitor,In Stock,43000
ACER HA220Q 21.5 INCH FULL HD IPS MONITOR,13900,TECHLAND,Monitor,In Stock,13900
VIEWSONIC VX2276-SH 22 INCH IPS MONITOR,15900,TECHLAND,Monitor,In Stock,15900
XIAOMI REDMI RMMNT27NF 27 INCH FULL HD IPS MONITOR,17800,TECHLAND,Monitor,In Stock,17800
LG 19M38A 18.5 INCH LED BACKLIGHT MONITOR (VGA PORT),10000,RYANS,Monitor,In Stock,10000
LENOVO L22E-30 21.5 INCH FHD HDMI VGA MONITOR #66CBKAC1MY,15500,RYANS,Monitor,In Stock,15500
MSI MODERN MD271CPW 27 INCH FULL HD CURVED HDMI USB TYPE-C MONITOR,29000,RYANS,Monitor,In Stock,29000
GIGABYTE G27FC A 27 INCH FHD CURVED DUAL HDMI DP DUAL USB GAMING MONITOR #G27FC A-EK,30500,RYANS,Monitor,In Stock,30500
HUAWEI MATEVIEW XWUCBA GT 27 INCH QHD DISPLAY HDMI DP USB-C GAMING MONITOR,30500,RYANS,Monitor,In Stock,30500
GIGABYTE G27Q 27 INCH 2K QHD DUAL HDMI DP DUAL USB EARPHONE SPEAKER GAMING MONITOR #G27Q-EK,40500,RYANS,Monitor,In Stock,40500
GIGABYTE G27QC A 27 INCH 2K QHD DUAL HDMI DP DUAL USB EARPHONE SPEAKER GAMING MONITOR #G27QC A-EK,40500,RYANS,Monitor,In Stock,40500
ASUS PROART DISPLAY PA328QV 31.5 INCH 2K WQHD DUAL HDMI DISPLAYPORT USB GAMING MONITOR,68000,RYANS,Monitor,In Stock,68000
ASUS PROART PA328Q 32 INCH 4K UHD IPS HDMIV1.4 MINIDP1.2 DP1.2 USB3 MONITOR WITH DUAL 3W SPEAKER,125000,RYANS,Monitor,In Stock,125000
LG 34WK95U-W 34 INCH ULTRAWIDE NANO IPS LED 5K MONITOR,173000,RYANS,Monitor,In Stock,173000
DELL E1916H 18.5 INCH LED VGA DP MONITOR,10000,RYANS,Monitor,Out of Stock,10000
HP V194 18.5 INCH HD LED MONITOR (VGA),10000,RYANS,Monitor,Out of Stock,10000
ASUS VZ229HE 21.5 INCH IPS BORDERLESS SLIM MONITOR (1XHDMI 1XVGA),16800,RYANS,Monitor,In Stock,16800
LG 22MK600M 21.5 INCH FULL HD IPS HDMI 2 VGA MONITOR,16800,RYANS,Monitor,In Stock,16800
HP 22FW IPS ANTI-GLARE FULL-HD 21.5 INCH VGA HDMI MONITOR #3KS60AA,17000,RYANS,Monitor,Out of Stock,17000
HP 24F 24 INCH ANTI-GLARE IPS LED FHD VGA HDMI MONITOR,21800,RYANS,Monitor,Out of Stock,21800
BENQ ZOWIE XL2411P 144HZ 24 INCH HDMI DVI DP E-SPORTS MONITOR,24200,RYANS,Monitor,Out of Stock,24200
HP ELITEDISPLAY E230T 23 INCH FHD TOUCH VGA HDMI DP USB MONITOR #W2Z50AA,26300,RYANS,Monitor,Out of Stock,26300
ASUS DESIGNO CURVED MX34VQ 34 INCH ULTRA-WIDE CURVED MONITOR,106500,RYANS,Monitor,In Stock,106500
ACER EB192Q (IPS) 18.5 INCH HD IPS LED MONITOR (DVI VGA),9000,RYANS,Monitor,In Stock,9000
XIAOMI REDMI 1A 23.8″ MONITOR IPS,15950,Skyland,Monitor,In Stock,15950
GIGABYTE G24F 23.8 INCH FULL HD 165HZ GAMING MONITOR,28000,Skyland,Monitor,In Stock,28000
GIGABYTE G27FC 27 INCH CURVED 165 HZ ADAPTIVE-SYNC VA GAMING MONITOR,31000,Skyland,Monitor,In Stock,31000
LG 22MK600M 22 INCH IPS BORDERLESS FULL HD MONITOR,18000,Skyland,Monitor,In Stock,18000
SAMSUNG LS22R350 22 INCH 75HZ FHD LED GAMING MONITOR,16000,Skyland,Monitor,In Stock,16000
BENQ GW2283 21.5 INCH EYE-CARE STYLISH FULL HD IPS MONITOR,16800,Skyland,Monitor,In Stock,16800
ASUS VZ229HE 21.5 INCH ULTRA-SLIM FRAMELESS EYE CARE FHD IPS MONITOR,17100,Skyland,Monitor,In Stock,17100
HP 22F 21.5 INCH 1080P 5MS FREESYNC IPS LED SLIM MONITOR (WITH HDMI CABLE),17000,Skyland,Monitor,In Stock,17000
HP ELITEDISPLAY E223 21.5 INCH FHD MONITOR (WITH HDMI CABLE),14100,Skyland,Monitor,Out of stock,14100
HP V214B 20.7-INCH LED MONITOR,N/A,Skyland,Monitor,Out of stock,null
HP 24F IPS LED 24″ BACKLIGHT MONITOR (WITH HDMI CABLE),19500,Skyland,Monitor,Out of stock,19500
VIEWSONIC VA2256-H 22 INCH 1080P HOME AND OFFICE MONITOR,11900,Skyland,Monitor,Out of stock,11900
VIEWSONIC VA2261-2 22 INCH 1080P HOME AND OFFICE MONITOR,7500,Skyland,Monitor,Out of stock,7500
XIAOMI MI 34 INCH 144HZ FREESYNC CURVED MONITOR 1 YEAR PARTS WARRANTY,50600,Skyland,Monitor,In Stock,50600
LG 22MK430H-B 22 INCH (AMD FREESYNC) FULL HD IPS LED DISPLAY MONITOR,16000,Skyland,Monitor,In Stock,16000
ASUS TUF GAMING VG249Q 24 INCH 144HZ FREESYNC 1MS IPS MONITOR,31500,Skyland,Monitor,In Stock,31500
VIEWSONIC VX2468-PC-MHD CURVED GAMING MONITOR,25900,COMPUTER VILLAGE,Monitor,In Stock,25900
VIEWSONIC XG2431 GAMING MONITOR,42900,COMPUTER VILLAGE,Monitor,In Stock,42900
VIEWSONIC VX3418-2KPC ULTRA WIDE CURVED GAMING MONITOR,58000,COMPUTER VILLAGE,Monitor,In Stock,58000
VIEWSONIC XG2705-2K 27 INCH GAMING MONITOR,45000,COMPUTER VILLAGE,Monitor,In Stock,45000
AOC  G2490VX 23.8 INCH  (1920X1080) FULL HD AND  144HZ FLAT DISPLAY MONITOR,24420,COMPUTER VILLAGE,Monitor,In Stock,24420
AOC  E970SWN5 TN PANEL/VGA 3 LED 18.5 INCH MONITOR,8900,COMPUTER VILLAGE,Monitor,In Stock,8900
AOC E2270SWHN  21.5 INCH MONITOR WITH HDMI VGA VESA HEADPHON,12000,COMPUTER VILLAGE,Monitor,In Stock,12000
AOC LED 22B2HN VA PANEL ULTRA SLIM 1920 X 1080  21.5 MONITOR,15000,COMPUTER VILLAGE,Monitor,In Stock,15000
AOC G2590PX 24.5" (1920X1080) FULL HD 144HZ DISPLAY MONITOR,28370,COMPUTER VILLAGE,Monitor,In Stock,28370
LENOVO L22I-30 21.5 INCH IPS MONITOR,17040,COMPUTER VILLAGE,Monitor,In Stock,17040
LENOVO L22E-30 (66CBKAC1MY)21.5 INCH  MONITOR,16350,COMPUTER VILLAGE,Monitor,In Stock,16350
LENOVO D20-20 19.5 INCH  MONITOR,12150,COMPUTER VILLAGE,Monitor,In Stock,12150
BENQ GW2280 22" EYE-CARE STYLISH FULL HD LED MONITOR,14200,STARTECH,Monitor,In Stock,14200
XIAOMI REDMI 1A 23.8" MONITOR,14300,STARTECH,Monitor,In Stock,14300
AOC 22B2HN 21.5" FHD MONITOR,13900,STARTECH,Monitor,In Stock,13900
PHILIPS 221V8 22" FHD MONITOR,14900,STARTECH,Monitor,In Stock,14900
LENOVO D22-20 21.5-INCH LED BACKLIT LCD MONITOR,15000,STARTECH,Monitor,In Stock,15000
BENQ GW2283 21.5 INCH EYE-CARE STYLISH FULL HD IPS MONITOR,15000,STARTECH,Monitor,In Stock,15000
SAMSUNG LF22T350 22" FULL HD IPS LED MONITOR,15500,STARTECH,Monitor,In Stock,15500
HP P22V G4 21.5" FULL HD MONITOR,15700,STARTECH,Monitor,In Stock,15700
LG 22MK600M 21.5 INCH IPS FULL HD LED MONITOR,16200,STARTECH,Monitor,In Stock,16200
VIEWSONIC VX2276-SH 22" FHD IPS MONITOR,15900,STARTECH,Monitor,In Stock,15900
LENOVO L22E-30 21.5-INCH FHD MONITOR,16000,STARTECH,Monitor,In Stock,16000
