,Product_Title,Price,Shop_Name,Category,Availability,G-Price
0,DAREU X TTC VIOLET GOLD V2 SWITCH (TACTILE),1200,TECHLAND,Keyboard,In Stock,1200.0
1,DAREU X TTC SKY BLUE V2 SWITCH (LINEAR),1200,TECHLAND,Keyboard,In Stock,1200.0
2,AULA F2066-II MECHANICAL WIRED GAMING KEYBOARD,2100,TECHLAND,Keyboard,In Stock,2100.0
3,REDRAGON K551RGB MITRA RGB BACKLIT BLUE SWITCHES MECHANICAL KEYBOARD,4050,TECHLAND,Keyboard,In Stock,4050.0
4,LOGITECH G213 PRODIGY RGB GAMING KEYBOARD,5099,TECHLAND,Keyboard,In Stock,5099.0
5,LOGITECH MK235 WIRELESS KEYBOARD AND MOUSE COMBO,2600,TECHLAND,Keyboard,In Stock,2600.0
6,RAPOO V500 SE MIXED LIGHT 104 KEYS METAL WIRED MECHANICAL KEYBOARD,2500,TECHLAND,Keyboard,In Stock,2500.0
7,MUMRE WRANGLER K100 RAINBOW RGB MECHANICAL KEYBOARD WHITE (BLUE SWITCH),1599,TECHLAND,Keyboard,In Stock,1599.0
8,LOGITECH MK240 NANO MOUSE AND KEYBOARD COMBO,2600,TECHLAND,Keyboard,In Stock,2600.0
9,LOGITECH K375S MULTI-DEVICE WIRELESS KEYBOARD AND STAND COMBO,2869,TECHLAND,Keyboard,In Stock,2869.0
10,LOGITECH MK275 WIRELESS COMBO WITH KEYBOARD AND MOUSE,2799,TECHLAND,Keyboard,In Stock,2799.0
11,REDRAGON K512 SHIVA RGB MEMBRANE GAMING KEYBOARD,2650,TECHLAND,Keyboard,In Stock,2650.0
12,REDRAGON HORUS K618 RGB WIRELESS MECHANICAL GAMING KEYBOARD,5700,TECHLAND,Keyboard,In Stock,5700.0
13,REDRAGON K565R-1 RUDRA BACKLIT MECHANICAL GAMING KEYBOARD,3050,TECHLAND,Keyboard,In Stock,3050.0
14,REDRAGON K588 PRO BROADSWORD RGB MECHANICAL GAMING KEYBOARD,5200,TECHLAND,Keyboard,In Stock,5200.0
15,AULA F2058 RGB MECHANICAL GAMING KEYBOARD,2400,TECHLAND,Keyboard,In Stock,2400.0
16,HAVIT KB329 BLACK USB MINI KEYBOARD WITH BANGLA,420,RYANS,Keyboard,In Stock,420.0
17,MICROPACK K203 BLACK BASIC USB KEYBOARD WITH BANGLA,425,RYANS,Keyboard,In Stock,425.0
18,MICROPACK K206 BLACK USB KEYBOARD WITH BANGLA,450,RYANS,Keyboard,In Stock,450.0
19,MICROPACK K2208 BLACK USB MINI KEYBOARD WITH BANGLA,500,RYANS,Keyboard,In Stock,500.0
20,HAVIT KB327 BLACK USB MULTIMEDIA KEYBOARD WITH BANGLA,575,RYANS,Keyboard,In Stock,575.0
21,LOGITECH K120 BLACK USB KEYBOARD WITH BANGLA,699,RYANS,Keyboard,In Stock,699.0
22,HP 100 WIRED USB BLACK KEYBOARD #2UN30AA,700,RYANS,Keyboard,In Stock,700.0
23,REDRAGON P023 BLACK GAMING WRISTPAD,750,RYANS,Keyboard,In Stock,750.0
24,MARVO SCORPION K606 WIRED BLACK GAMING KEYBOARD,1250,RYANS,Keyboard,In Stock,1250.0
25,REDRAGON K509 DYAUS 7 COLORS BACKLIT GAMING KEYBOARD,2100,RYANS,Keyboard,In Stock,2100.0
26,MARVO KG954 WIRED (BLUE SWITCH) BLACK MECHANICAL GAMING KEYBOARD,2400,RYANS,Keyboard,In Stock,2400.0
27,MARVO KG962 WIRED (BLUE SWITCH) BLACK MECHANICAL GAMING KEYBOARD,2450,RYANS,Keyboard,In Stock,2450.0
28,MARVO KG962WH WIRED (BLUE SWITCH) WHITE MECHANICAL GAMING KEYBOARD,2450,RYANS,Keyboard,In Stock,2450.0
29,A4TECH FBX51C DUAL MODE GREY BLUETOOTH KEYBOARD,2500,RYANS,Keyboard,In Stock,2500.0
30,A4TECH FBX51C DUAL MODE MATCHA GREEN BLUETOOTH KEYBOARD,2500,RYANS,Keyboard,In Stock,2500.0
31,REDRAGON K512 SHIVA RGB BLACK MEMBRANE GAMING KEYBOARD,2800,RYANS,Keyboard,In Stock,2800.0
32,LOGITECH K375S WIRELESS MULTI DEVICE KEYBOARD,2869,RYANS,Keyboard,In Stock,2869.0
33,REDRAGON DAKSA K576R RAINBOW LED USB BLACK GAMING KEYBOARD,3400,RYANS,Keyboard,In Stock,3400.0
34,REDRAGON K617 FIZZ RGB (RED SWITCH) PINK-WHITE GAMING KEYBOARD,3400,RYANS,Keyboard,In Stock,3400.0
35,REDRAGON K617 FIZZ RGB (RED SWITCH) GRAY-WHITE GAMING KEYBOARD,3400,RYANS,Keyboard,In Stock,3400.0
36,XTRIKE ME KB-508 GAMING KEYBOARD AND GMP-290 RGB GAMING MOUSE & MOUSE PAD COMBO,2350,STARTECH,Keyboard,In Stock,2350.0
37,XTRIKE ME KB-508 GAMING KEYBOARD AND GM-512 RGB GAMING MOUSE COMBO,2650,STARTECH,Keyboard,In Stock,2650.0
38,XTRIKE ME KB-508 GAMING KEYBOARD AND GM-414 RGB GAMING MOUSE COMBO,2650,STARTECH,Keyboard,In Stock,2650.0
39,XTRIKE ME KB-508 GAMING KEYBOARD AND GM-310 RGB GAMING MOUSE COMBO,2700,STARTECH,Keyboard,In Stock,2700.0
40,LOGITECH MK200 WIRED MOUSE & KEYBOARD COMBO,1299,STARTECH,Keyboard,In Stock,1299.0
41,HAVIT KB329 WIRED USB MINI KEYBOARD BLACK,420,STARTECH,Keyboard,In Stock,420.0
42,ASTRUM KB080 USB WIRED SLIM KEYBOARD,450,STARTECH,Keyboard,In Stock,450.0
43,MICROPACK K2208 USB MINI KEYBOARD,775,STARTECH,Keyboard,In Stock,775.0
44,MICROPACK K-206 USB KEYBOARD,690,STARTECH,Keyboard,In Stock,690.0
45,MICROPACK K203 BASIC USB KEYBOARD,690,STARTECH,Keyboard,In Stock,690.0
46,ASTRUM KB170 USB WIRED SLIM KEYBOARD,750,STARTECH,Keyboard,In Stock,750.0
47,FANTECH K210 SILENT MULTIMEDIA USB OFFICE USE KEYBOARD BLACK,600,STARTECH,Keyboard,In Stock,600.0
48,MICROPACK KM-2003 COMBO KEYBOARD & MOUSE,1350,STARTECH,Keyboard,In Stock,1350.0
49,IMICE GK-480 4 IN 1 GAMING KIT COMBO,2365,STARTECH,Keyboard,In Stock,2365.0
50,IMICE AK-800 USB RGB GAMING KEYBOARD,750,STARTECH,Keyboard,In Stock,750.0
51,LOGITECH K120 USB KEYBOARD WITH BANGLA BLACK (920-008363),699,STARTECH,Keyboard,In Stock,699.0
52,RAPOO NK1800 USB OPTICAL KEYBOARD WITH BANGLA,700,STARTECH,Keyboard,In Stock,700.0
53,RAPOO 9900M MULTI-MODE WIRELESS KEYBOARD & MOUSE COMBO,7150,STARTECH,Keyboard,In Stock,7150.0
54,RAPOO 8210M MULTI-MODE KEYBOARD & MOUSE COMBO,3080,STARTECH,Keyboard,In Stock,3080.0
55,REDRAGON KUMARA K552 RGB HOT SWAPPABLE MECHANICAL GAMING KEYBOARD,4200,Skyland,Keyboard,In Stock,4200.0
56,RAPOO V500 SE MIXED LIGHT 104 KEYS METAL WIRED MECHANICAL KEYBOARD,2600,Skyland,Keyboard,In Stock,2600.0
57,FANTECH K613L FIGHTER II PROFESSIONAL USB GAMING KEYBOARD,1800,Skyland,Keyboard,In Stock,1800.0
58,MUMRE WRANGLER K100 RAINBOW RGB MECHANICAL KEYBOARD,2000,Skyland,Keyboard,In Stock,2000.0
59,WALTON WKG005WB HIGH PRECISION GAMING KEYBOARD,950,Skyland,Keyboard,In Stock,950.0
60,A4 TECH KR-85 COMFORT ROUNDED EDGE KEYCAPS KEYBOARD,600,Skyland,Keyboard,In Stock,600.0
61,WALTON WKS004WN STANDARD KEYBOARD,240,Skyland,Keyboard,In Stock,240.0
62,RAPOO V500 ALLOY MECHANICAL GAMING KEYBOARD (TKL-NO BACKLIT),2200,Skyland,Keyboard,In Stock,2200.0
63,LOGITECH K380 BLUETOOTH MULTI-DEVICE KEYBOARD,2700,Skyland,Keyboard,In Stock,2700.0
64,RAPOO V500 PRO MECHANICAL GAMING KEYBOARD (BLACK),2600,Skyland,Keyboard,In Stock,2600.0
65,WALTON WKG008WB HIGH PRECISION GAMING KEYBOARD,950,Skyland,Keyboard,In Stock,950.0
66,HP GK400F MECHANICAL GAMING KEYBOARD,3150,Skyland,Keyboard,In Stock,3150.0
67,ROYAL KLUDGE RK71 DUAL MODE RGB MECHANICAL KEYBOARD (HUANO SWITCH),3699,Skyland,Keyboard,In Stock,3699.0
68,WALTON WKS007WB STANDARD KEYBOARD,700,Skyland,Keyboard,In Stock,700.0
69,FANTECH K612 SOLDIER RGB GAMING KEYBOARD,2300,Skyland,Keyboard,In Stock,2300.0
70,WALTON WKG007WB HIGH PRECISION GAMING KEYBOARD,950,Skyland,Keyboard,In Stock,950.0
71,FANTECH MAX PRO MK851 MECHANICAL RGB GAMING KEYBOARD,6200,COMPUTER VILLAGE,Keyboard,In Stock,6200.0
72,FANTECH K210 SILENT MULTIMEDIA OFFICE USE USB KEYBOARD,600,COMPUTER VILLAGE,Keyboard,In Stock,600.0
73,A4TECH KRS-83 FN MULTIMEDIA KEYBOARD,799,COMPUTER VILLAGE,Keyboard,In Stock,799.0
74,MICROPACK KM-218W WIRELSSS COMBO KEYBOARD AND MOUSE,1250,COMPUTER VILLAGE,Keyboard,In Stock,1250.0
75,MICROPACK K206 OFFICE LITE 2 USB KEYBOARD,500,COMPUTER VILLAGE,Keyboard,In Stock,500.0
76,MICROPACK KM-203W WIRELESS KEYBOARD & MOUSE COMBO,1050,COMPUTER VILLAGE,Keyboard,In Stock,1050.0
77,MICROPACK KM-2003 KEYBOARD & MOUSE COMBO,650,COMPUTER VILLAGE,Keyboard,In Stock,650.0
78,MICROPACK K2208 OFFICE MINI USB KEYBOARD,775,COMPUTER VILLAGE,Keyboard,In Stock,775.0
79,MICROPACK GK-10 MULTI COLOR USB GAMING KEYBOARD,1150,COMPUTER VILLAGE,Keyboard,In Stock,1150.0
80,MICROPACK K-206 MEMBRANE USB KEYBOARD,450,COMPUTER VILLAGE,Keyboard,In Stock,450.0
81,MICROPACK K203 USB BASIC KEYBOARD,550,COMPUTER VILLAGE,Keyboard,In Stock,550.0
82,A4TECH KK-3330 MULTIMEDIA USB KEYBOARD MOUSE COMBO,850,COMPUTER VILLAGE,Keyboard,In Stock,850.0
83,CORSAIR K68 RGB MECHANICAL CHERRY MX RED GAMING KEYBOARD,8490,TECHLAND,Keyboard,In Stock,8490.0
84,ASUS TUF GAMING K1 RGB KEYBOARD,4000,TECHLAND,Keyboard,In Stock,4000.0
85,AULA F2063 MECHANICAL MULTIMEDIA RGB GAMING KEYBOARD ,2650,TECHLAND,Keyboard,In Stock,2650.0
86,LOGITECH G512 CARBON RGB MECHANICAL GAMING KEYBOARD,10399,TECHLAND,Keyboard,In Stock,10399.0
87,AULA F2099 RGB MECHANICAL GAMING KEYBOARD,3200,TECHLAND,Keyboard,In Stock,3200.0
88,AULA F2088 GREY MECHANICAL GAMING KEYBOARD,2900,TECHLAND,Keyboard,In Stock,2900.0
89,DAREU EK87 MECHANICAL GAMING KEYBOARD - WHITE (BLUE SWITCH),2199,TECHLAND,Keyboard,In Stock,2199.0
90,DAREU EK87 MECHANICAL GAMING KEYBOARD - WHITE (BROWN SWITCH),2199,TECHLAND,Keyboard,In Stock,2199.0
91,DAREU EK87 MECHANICAL GAMING KEYBOARD - WHITE (RED SWITCH),2099,TECHLAND,Keyboard,In Stock,2099.0
92,FANTECH K612 SOLDIER ILLUMINATED RGB BACKLIGHT GAMING KEYBOARD 104 KEYS BEST SELLING BANGLADESH,2000,TECHLAND,Keyboard,In Stock,2000.0
93,MICROSOFT SURFACE PRO TYPE COVER KEYBOARD (BLACK),13000,TECHLAND,Keyboard,In Stock,13000.0
94,HAVIT GAMENOTE KB500L MULTI-FUNCTION LED BACKLIT USB GAMING KEYBOARD (BLACK),1100,TECHLAND,Keyboard,In Stock,1100.0
95,RAPOO E2710 WIRELESS MULTIMEDIA TOUCH KEYBOARD,3520,TECHLAND,Keyboard,In Stock,3520.0
96,XTRIKE MK-900 MULTIMEDIA USB GAMING KEYBOARD AND MOUSE WITH MOUSEPAD COMBO,1600,TECHLAND,Keyboard,In Stock,1600.0
97,XTRIKE ME MK-880KIT MULTIMEDIA USB GAMING KEYBOARD AND MOUSE COMBO,1850,TECHLAND,Keyboard,In Stock,1850.0
98,WALTON WSMKC005RN WIRELESS COMBO,800,TECHLAND,Keyboard,In Stock,800.0
99,TECWARE SPECTRE PRO RGB BACKLIT MECHANICAL KEYBOARD,5800,TECHLAND,Keyboard,In Stock,5800.0
100,NZXT FUNCTION TENKEYLESSL COMPACT RGB MECHANICAL GAMING KEYBOARD (MATTE WHITE),10500,TECHLAND,Keyboard,In Stock,10500.0
101,NZXT FUNCTION TENKEYLESSL COMPACT RGB MECHANICAL GAMING KEYBOARD (MATTE BLACK),10500,TECHLAND,Keyboard,In Stock,10500.0
102,NZXT FUNCTION MINITKL COMPACT RGB MECHANICAL GAMING KEYBOARD MATTE WHITE,9700,TECHLAND,Keyboard,In Stock,9700.0
103,NZXT FUNCTION MINITKL COMPACT RGB MECHANICAL GAMING KEYBOARD ,9700,TECHLAND,Keyboard,In Stock,9700.0
104,NZXT FUNCTION COMPACT RGB MECHANICAL GAMING KEYBOARD (MATTE WHITE),12500,TECHLAND,Keyboard,In Stock,12500.0
105,NZXT FUNCTION COMPACT RGB MECHANICAL GAMING KEYBOARD (MATTE BLACK),12500,TECHLAND,Keyboard,In Stock,12500.0
106,MEETION MK80 ULTRA-THIN MECHANICAL KEYBOARD ,5800,TECHLAND,Keyboard,In Stock,5800.0
107,MEETION MK005BT DUAL MODE BLUETOOTH 60 GAMING KEYBOARD,3200,TECHLAND,Keyboard,In Stock,3200.0
108,MEETION HESTIA MK005 MECHANICAL GAMING KEYBOARD,2450,TECHLAND,Keyboard,In Stock,2450.0
109,MARVO KG962WH MECHANICAL GAMING KEYBOARD,2400,TECHLAND,Keyboard,In Stock,2400.0
110,MARVO KG962 MECHANICAL GAMING KEYBOARD,2400,TECHLAND,Keyboard,In Stock,2400.0
111,MARVO KG954 WIRED RGB MECHANICAL GAMING KEYBOARD,2350,TECHLAND,Keyboard,In Stock,2350.0
112,MARVO K606 WIRED MEMBRANE PALM REST GAMING KEYBOARD,1150,TECHLAND,Keyboard,In Stock,1150.0
113,LOGITECH MK240 NANO MOUSE AND KEYBOARD COMBO (WHITE),2600,TECHLAND,Keyboard,In Stock,2600.0
114,LOGITECH G PRO MECHANICAL KEYBOARD,12199,TECHLAND,Keyboard,In Stock,12199.0
115,RAPOO E2710 WIRELESS BLACK KEYBOARD WITH TOUCH-PAD,3520,RYANS,Keyboard,In Stock,3520.0
116,REDRAGON K568 RGB DARK AVENGER (BLUE SWITCH) BLACK GAMING KEYBOARD,3600,RYANS,Keyboard,In Stock,3600.0
117,ROYAL KLUDGE RK61 DUAL MODE RGB HOT SWAP (BLUE SWITCH) WHITE MECHANICAL GAMING KEYBOARD,3750,RYANS,Keyboard,In Stock,3750.0
