,Product_Title,Price,Shop_Name,Category,Availability,G-Price
23,LOGITECH G903 LIGHTSPEED HERO RGB WIRELESS GAMING MOUSE,11000,STARTECH,Mouse,In Stock,11000.0
26,LOGITECH G502 LIGHTSPEED HERO SENSOR LIGHTSYNC RGB WIRELESS GAMING MOUSE,11200,STARTECH,Mouse,In Stock,11200.0
62,LOGITECH MX MASTER 3 ADVANCED WIRELESS 7 BUTTON MOUSE,9900,Skyland,Mouse,In Stock,9900.0
97,XTRFY MZ1 RGB ULTRA-LIGHT WIRELESS ERGONOMIC GAMING MOUSE (WHITE),12500,TECHLAND,Mouse,In Stock,12500.0
98,XTRFY MZ1 RGB ULTRA-LIGHT WIRELESS ERGONOMIC GAMING MOUSE (BLACK),12500,TECHLAND,Mouse,In Stock,12500.0
159,RAZER VIPER ULTIMATE RGB GAMING MOUSE WITH CHARGING DOCK,13800,Skyland,Mouse,In Stock,13800.0
168,XTRFY M42 RGB ULTRA-LIGHT WIRELESS SYMMETRICAL GAMING MOUSE (BLACK),10500,TECHLAND,Mouse,In Stock,10500.0
170,XTRFY M4 RGB ULTRA-LIGHT WIRELESS ERGONOMIC GAMING MOUSE (WHITE),10500,TECHLAND,Mouse,In Stock,10500.0
171,XTRFY M4 RGB ULTRA-LIGHT WIRELESS ERGONOMIC GAMING MOUSE (BLACK),10500,TECHLAND,Mouse,In Stock,10500.0
314,ASUS XA04 STRIX SCOPE DELUXE MECHANICAL GAMING KEYBOARD,12500,COMPUTER VILLAGE,Mouse,In Stock,12500.0
414,LOGITECH G502 LIGHTSPEED RGB WIRELESS GAMING MOUSE WITH HERO 25K SENSOR,11200,TECHLAND,Mouse,In Stock,11200.0
452,RAZER BASILISK ULTIMATE WITH CHARGING DOCK,13500,Skyland,Mouse,In Stock,13500.0
554,LOGITECH G903 LIGHTSPEED HERO RGB WIRELESS GAMING MOUSE,13500,Skyland,Mouse,In Stock,13500.0
