,Product_Title,Price,Shop_Name,Category,Availability,G-Price
9,LOGITECH MX MASTER 3 ADVANCED WIRELESS 7 BUTTON MOUSE,9500,TECHLAND,Mouse,In Stock,9500.0
23,LOGITECH G903 LIGHTSPEED HERO RGB WIRELESS GAMING MOUSE,11000,STARTECH,Mouse,In Stock,11000.0
26,LOGITECH G502 LIGHTSPEED HERO SENSOR LIGHTSYNC RGB WIRELESS GAMING MOUSE,11200,STARTECH,Mouse,In Stock,11200.0
62,LOGITECH MX MASTER 3 ADVANCED WIRELESS 7 BUTTON MOUSE,9900,Skyland,Mouse,In Stock,9900.0
73,ASUS TUF GAMING HEADSET WL,8200,COMPUTER VILLAGE,Mouse,In Stock,8200.0
74,ASUS ROG PUGIO II RGB GAMING MOUSE,8500,COMPUTER VILLAGE,Mouse,In Stock,8500.0
75,ASUS ROG KERIS WIRELESS GAMING MOUSE,7500,COMPUTER VILLAGE,Mouse,In Stock,7500.0
79,FANTECH HELIOS GO XD5 USB TYPE-C WIRELESS GAMING RGB MOUSE,6850,COMPUTER VILLAGE,Mouse,In Stock,6850.0
96,XTRFY MZ1 RGB ULTRA-LIGHT WIRELESS ERGONOMIC GAMING MOUSE (ZY’S RAIL),7500,TECHLAND,Mouse,In Stock,7500.0
97,XTRFY MZ1 RGB ULTRA-LIGHT WIRELESS ERGONOMIC GAMING MOUSE (WHITE),12500,TECHLAND,Mouse,In Stock,12500.0
98,XTRFY MZ1 RGB ULTRA-LIGHT WIRELESS ERGONOMIC GAMING MOUSE (BLACK),12500,TECHLAND,Mouse,In Stock,12500.0
168,XTRFY M42 RGB ULTRA-LIGHT WIRELESS SYMMETRICAL GAMING MOUSE (BLACK),10500,TECHLAND,Mouse,In Stock,10500.0
170,XTRFY M4 RGB ULTRA-LIGHT WIRELESS ERGONOMIC GAMING MOUSE (WHITE),10500,TECHLAND,Mouse,In Stock,10500.0
171,XTRFY M4 RGB ULTRA-LIGHT WIRELESS ERGONOMIC GAMING MOUSE (BLACK),10500,TECHLAND,Mouse,In Stock,10500.0
