Product_Title,Price,Shop_Name,Category,Availability,G-Price
PNY GEFORCE RTX 3060 TI 8GB UPRISING DUAL FAN (LHR) GRAPHICS CARD,59000,TECHLAND,GPU,In Stock,59000.0
BIOSTAR RADEON RX550 4GB DDR5 GRAPHICS CARD,13900,TECHLAND,GPU,In Stock,13900.0
MSI RADEON RX 6400 AERO ITX 4G GDDR6 GRAPHICS CARD,19000,TECHLAND,GPU,In Stock,19000.0
EVGA GEFORCE RTX 3070 XC3 ULTRA GAMING 8GB GDDR6 GRAPHICS CARD,72000,TECHLAND,GPU,In Stock,72000.0
MSI RADEON RX 6900 XT GAMING Z TRIO 16GB GDDR6 AMD GRAPHICS CARD,133900,TECHLAND,GPU,In Stock,133900.0
ZOTAC GAMING GEFORCE RTX 3080 AMP HOLO LHR 12GB GRAPHICS CARD,133500,TECHLAND,GPU,In Stock,133500.0
ZOTAC GAMING GEFORCE RTX 3080 12GB TRINITY OC LHR GRAPHICS CARD,128000,TECHLAND,GPU,In Stock,128000.0
ZOTAC GAMING 24GB GDDR6X GEFORCE RTX 3090 TI AMP EXTREME HOLO GRAPHICS CARD,248000,TECHLAND,GPU,In Stock,248000.0
XFX SPEEDSTER QICK 319 AMD RADEON RX 6700 XT BLACK 12GB GDDR6 GAMING GRAPHICS CARD,74999,TECHLAND,GPU,In Stock,74999.0
XFX RADEON RX 6500 XT SPEEDSTER QICK 210 BLACK 4GB GDDR6 GAMING GRAPHICS CARD,22500,TECHLAND,GPU,In Stock,22500.0
SAPPHIRE TOXIC RADEON RX 6900 XT 16GB GDDR6 LIMITED EDITION GRAPHICS CARD,176000,TECHLAND,GPU,In Stock,176000.0
SAPPHIRE TOXIC AMD RADEON RX 6950 XT 16GB OC LE GDDR6 GRAPHICS CARD,173900,TECHLAND,GPU,In Stock,173900.0
SAPPHIRE TOXIC AMD RADEON RX 6900 XT LIMITED EDITION GRAPHICS CARD,176000,TECHLAND,GPU,In Stock,176000.0
SAPPHIRE PULSE RADEON RX 6750 XT 12GB DDR6 GRAPHICS CARD,79900,TECHLAND,GPU,In Stock,79900.0
SAPPHIRE PULSE RADEON RX 6650 XT 8GB OC GDDR6 GRAPHICS CARD,54900,TECHLAND,GPU,In Stock,54900.0
SAPPHIRE NITRO+ RADEON RX 6650 XT 8GB OC GDDR6 GRAPHICS CARD,57900,TECHLAND,GPU,In Stock,57900.0
SAPPHIRE PLUSE RADEON RX 6400 4GB GDDR6 GRAPHICS CARD #11315-01-20G,19800,RYANS,GPU,In Stock,19800.0
MSI GEFORCE GTX 1630 VENTUS XS 4G OC 4GB GDDR6 GRAPHICS CARD,20500,RYANS,GPU,In Stock,20500.0
