Product_Title,Price,Shop_Name,Category,Availability,G-Price
XIAOMI REDMI 1A 23.8" FULL HD MONITOR,14000,TECHLAND,Monitor,In Stock,14000
ASUS VZ24EHE 23.8 INCH FULL HD IPS 75HZ EYE CARE MONITOR,21500,TECHLAND,Monitor,In Stock,21500
BENQ GW2280 22 INCH LED BACKLIGHT EYE CARE STYLISH MONITOR,14200,TECHLAND,Monitor,In Stock,14200
LG 22MK600M 22 INCH IPS BORDERLESS FULL HD MONITOR,16200,TECHLAND,Monitor,In Stock,16200
WALTON WD238V03 23.8 INCH FULL HD LED BACKLIGHT MONITOR WITH BUILT-IN SPEAKER,14000,TECHLAND,Monitor,In Stock,14000
SAMSUNG ODYSSEY G7 C27G75TQSW 27 INCH 240HZ CURVED QLED G-SYNC GAMING MONITOR,62500,TECHLAND,Monitor,In Stock,62500
HP V22 21.5 INCH LED FULL HD MONITOR,13800,TECHLAND,Monitor,In Stock,13800
ASUS VA249HE EYE CARE 23.8 INCH 60HZ FLICKER FREE FULL HD MONITOR,21000,TECHLAND,Monitor,In Stock,21000
ASUS VA229HR EYE CARE 21.5 INCH 75HZ FLICKER FREE FULL HD IPS MONITOR,16200,TECHLAND,Monitor,In Stock,16200
ASUS PROART DISPLAY PA278QV 27 INCH WQHD IPS MONITOR,51500,TECHLAND,Monitor,In Stock,51500
DELL D1918H 18.5 INCH LED MONITOR,10900,TECHLAND,Monitor,In Stock,10900
GIGABYTE M32U 31.5 INCH 4K 144HZ FREESYNC IPS GAMING MONITOR,61500,TECHLAND,Monitor,In Stock,61500
GIGABYTE G32QC-EK 32INCH 165HZ CURVED GAMING MONITOR,43000,TECHLAND,Monitor,In Stock,43000
ACER HA220Q 21.5 INCH FULL HD IPS MONITOR,13900,TECHLAND,Monitor,In Stock,13900
VIEWSONIC VX2276-SH 22 INCH IPS MONITOR,15900,TECHLAND,Monitor,In Stock,15900
XIAOMI REDMI RMMNT27NF 27 INCH FULL HD IPS MONITOR,17800,TECHLAND,Monitor,In Stock,17800
DAREU X TTC VIOLET GOLD V2 SWITCH (TACTILE),1200,TECHLAND,Keyboard,In Stock,1200
DAREU X TTC SKY BLUE V2 SWITCH (LINEAR),1200,TECHLAND,Keyboard,In Stock,1200
AULA F2066-II MECHANICAL WIRED GAMING KEYBOARD,2100,TECHLAND,Keyboard,In Stock,2100
REDRAGON K551RGB MITRA RGB BACKLIT BLUE SWITCHES MECHANICAL KEYBOARD,4050,TECHLAND,Keyboard,In Stock,4050
LOGITECH G213 PRODIGY RGB GAMING KEYBOARD,5099,TECHLAND,Keyboard,In Stock,5099
LOGITECH MK235 WIRELESS KEYBOARD AND MOUSE COMBO,2600,TECHLAND,Keyboard,In Stock,2600
RAPOO V500 SE MIXED LIGHT 104 KEYS METAL WIRED MECHANICAL KEYBOARD,2500,TECHLAND,Keyboard,In Stock,2500
MUMRE WRANGLER K100 RAINBOW RGB MECHANICAL KEYBOARD WHITE (BLUE SWITCH),1599,TECHLAND,Keyboard,In Stock,1599
LOGITECH MK240 NANO MOUSE AND KEYBOARD COMBO,2600,TECHLAND,Keyboard,In Stock,2600
LOGITECH K375S MULTI-DEVICE WIRELESS KEYBOARD AND STAND COMBO,2869,TECHLAND,Keyboard,In Stock,2869
