,Product_Title,Price,Shop_Name,Category,Availability,G-Price
159,RAZER VIPER ULTIMATE RGB GAMING MOUSE WITH CHARGING DOCK,13800,Skyland,Mouse,In Stock,13800.0
452,RAZER BASILISK ULTIMATE WITH CHARGING DOCK,13500,Skyland,Mouse,In Stock,13500.0
554,LOGITECH G903 LIGHTSPEED HERO RGB WIRELESS GAMING MOUSE,13500,Skyland,Mouse,In Stock,13500.0
737,LOGITECH PRO X SUPERLIGHT WIRELESS GAMING MOUSE (WHITE),14900,Skyland,Mouse,In Stock,14900.0
738,LOGITECH PRO X SUPERLIGHT WIRELESS GAMING MOUSE (BLACK),14100,Skyland,Mouse,In Stock,14100.0
937,APPLE MLA02ZAA MAGIC MOUSE 2,13500,COMPUTER VILLAGE,Mouse,In Stock,13500.0
1003,RAZER MAMBA HYPERFLUX + FIREFLY HYPERFLUX,19200,Skyland,Mouse,In Stock,19200.0
1117,LOGITECH G PRO X WIRELESS BLACK SUPER LIGHT GAMING MOUSE,14150,RYANS,Mouse,In Stock,14150.0
1164,LOGITECH G502 LIGHTSPEED HERO SENSOR LIGHTSYNC RGB WIRELESS GAMING MOUSE,13189,Skyland,Mouse,In Stock,13189.0
1174,ASUS P704 ROG CHAKRAM GAMING MOUSE,13000,STARTECH,Mouse,In Stock,13000.0
1175,ASUS P707 ROG SPATHA X DUAL-MODE RGB GAMING MOUSE,13000,STARTECH,Mouse,In Stock,13000.0
1251,ASUS P704 ROG CHAKRAM GAMING MOUSE,13500,Skyland,Mouse,In Stock,13500.0
1254,ASUS P707 ROG SPATHA X DUAL-MODE RGB GAMING MOUSE,13000,Skyland,Mouse,In Stock,13000.0
1332,RAZER VIPER ULTIMATE WITH CHARGING DOCK – MERCURY EDITION,14800,Skyland,Mouse,In Stock,14800.0
