,Product_Title,Price,Shop_Name,Category,Availability,G-Price
0,"XIAOMI REDMI 1A 23.8"" FULL HD MONITOR",14000,TECHLAND,Monitor,In Stock,14000.0
1,ASUS VZ24EHE 23.8 INCH FULL HD IPS 75HZ EYE CARE MONITOR,21500,TECHLAND,Monitor,In Stock,21500.0
2,BENQ GW2280 22 INCH LED BACKLIGHT EYE CARE STYLISH MONITOR,14200,TECHLAND,Monitor,In Stock,14200.0
3,LG 22MK600M 22 INCH IPS BORDERLESS FULL HD MONITOR,16200,TECHLAND,Monitor,In Stock,16200.0
4,WALTON WD238V03 23.8 INCH FULL HD LED BACKLIGHT MONITOR WITH BUILT-IN SPEAKER,14000,TECHLAND,Monitor,In Stock,14000.0
5,SAMSUNG ODYSSEY G7 C27G75TQSW 27 INCH 240HZ CURVED QLED G-SYNC GAMING MONITOR,62500,TECHLAND,Monitor,In Stock,62500.0
6,HP V22 21.5 INCH LED FULL HD MONITOR,13800,TECHLAND,Monitor,In Stock,13800.0
7,ASUS VA249HE EYE CARE 23.8 INCH 60HZ FLICKER FREE FULL HD MONITOR,21000,TECHLAND,Monitor,In Stock,21000.0
8,ASUS VA229HR EYE CARE 21.5 INCH 75HZ FLICKER FREE FULL HD IPS MONITOR,16200,TECHLAND,Monitor,In Stock,16200.0
9,ASUS PROART DISPLAY PA278QV 27 INCH WQHD IPS MONITOR,51500,TECHLAND,Monitor,In Stock,51500.0
10,DELL D1918H 18.5 INCH LED MONITOR,10900,TECHLAND,Monitor,In Stock,10900.0
11,GIGABYTE M32U 31.5 INCH 4K 144HZ FREESYNC IPS GAMING MONITOR,61500,TECHLAND,Monitor,In Stock,61500.0
12,GIGABYTE G32QC-EK 32INCH 165HZ CURVED GAMING MONITOR,43000,TECHLAND,Monitor,In Stock,43000.0
13,ACER HA220Q 21.5 INCH FULL HD IPS MONITOR,13900,TECHLAND,Monitor,In Stock,13900.0
14,VIEWSONIC VX2276-SH 22 INCH IPS MONITOR,15900,TECHLAND,Monitor,In Stock,15900.0
15,XIAOMI REDMI RMMNT27NF 27 INCH FULL HD IPS MONITOR,17800,TECHLAND,Monitor,In Stock,17800.0
16,LG 19M38A 18.5 INCH LED BACKLIGHT MONITOR (VGA PORT),10000,RYANS,Monitor,In Stock,10000.0
17,LENOVO L22E-30 21.5 INCH FHD HDMI VGA MONITOR #66CBKAC1MY,16000,RYANS,Monitor,In Stock,16000.0
18,MSI MODERN MD271CPW 27 INCH FULL HD CURVED HDMI USB TYPE-C MONITOR,29000,RYANS,Monitor,In Stock,29000.0
19,GIGABYTE G27FC A 27 INCH FHD CURVED DUAL HDMI DP DUAL USB GAMING MONITOR #G27FC A-EK,30500,RYANS,Monitor,In Stock,30500.0
20,HUAWEI MATEVIEW XWUCBA GT 27 INCH QHD DISPLAY HDMI DP USB-C GAMING MONITOR,30500,RYANS,Monitor,In Stock,30500.0
21,GIGABYTE G27Q 27 INCH 2K QHD DUAL HDMI DP DUAL USB EARPHONE SPEAKER GAMING MONITOR #G27Q-EK,40500,RYANS,Monitor,In Stock,40500.0
22,GIGABYTE G27QC A 27 INCH 2K QHD DUAL HDMI DP DUAL USB EARPHONE SPEAKER GAMING MONITOR #G27QC A-EK,40500,RYANS,Monitor,In Stock,40500.0
23,ASUS PROART DISPLAY PA328QV 31.5 INCH 2K WQHD DUAL HDMI DISPLAYPORT USB GAMING MONITOR,68000,RYANS,Monitor,In Stock,68000.0
24,ASUS PROART PA328Q 32 INCH 4K UHD IPS HDMIV1.4 MINIDP1.2 DP1.2 USB3 MONITOR WITH DUAL 3W SPEAKER,125000,RYANS,Monitor,In Stock,125000.0
25,LG 34WK95U-W 34 INCH ULTRAWIDE NANO IPS LED 5K MONITOR,173000,RYANS,Monitor,In Stock,173000.0
26,DELL E1916H 18.5 INCH LED VGA DP MONITOR,10000,RYANS,Monitor,Out of Stock,10000.0
27,HP V194 18.5 INCH HD LED MONITOR (VGA),10000,RYANS,Monitor,Out of Stock,10000.0
28,ASUS VZ229HE 21.5 INCH IPS BORDERLESS SLIM MONITOR (1XHDMI 1XVGA),16800,RYANS,Monitor,In Stock,16800.0
29,HP 22FW IPS ANTI-GLARE FULL-HD 21.5 INCH VGA HDMI MONITOR #3KS60AA,17000,RYANS,Monitor,Out of Stock,17000.0
30,HP 24F 24 INCH ANTI-GLARE IPS LED FHD VGA HDMI MONITOR,21800,RYANS,Monitor,Out of Stock,21800.0
31,BENQ ZOWIE XL2411P 144HZ 24 INCH HDMI DVI DP E-SPORTS MONITOR,24200,RYANS,Monitor,Out of Stock,24200.0
32,HP ELITEDISPLAY E230T 23 INCH FHD TOUCH VGA HDMI DP USB MONITOR #W2Z50AA,26300,RYANS,Monitor,Out of Stock,26300.0
33,ASUS DESIGNO CURVED MX34VQ 34 INCH ULTRA-WIDE CURVED MONITOR,106500,RYANS,Monitor,In Stock,106500.0
34,ACER EB192Q (IPS) 18.5 INCH HD IPS LED MONITOR (DVI VGA),9000,RYANS,Monitor,In Stock,9000.0
35,AOC E970SWHEN 18.5 INCH 1366 X768 RESOLUTION 5MS LED TN MONITOR(HDMI VGA VESA),9200,RYANS,Monitor,In Stock,9200.0
36,"VIEWSONIC VA1903H 18.5"" LED MONITOR (HDMI VGA)",9900,STARTECH,Monitor,In Stock,9900.0
37,"PHILIPS 18.5"" 193V5LSB2 LED MONITOR",10000,STARTECH,Monitor,In Stock,10000.0
38,LG 19M38A 18.5 INCH MONITOR,10000,STARTECH,Monitor,In Stock,10000.0
39,ACER EB192Q 18.5 INCH HD MONITOR,10000,STARTECH,Monitor,In Stock,10000.0
40,DELL E1916HV 18.5 INCH LED MONITOR (VGA),10300,STARTECH,Monitor,In Stock,10300.0
41,HP V19 18.5 INCH HD MONITOR,10400,STARTECH,Monitor,In Stock,10400.0
42,"HP P19V G4 18.5"" HD MONITOR",10500,STARTECH,Monitor,In Stock,10500.0
43,LENOVO D19-10 18.5 INCH HD HDMI VGA MONITOR,10800,STARTECH,Monitor,In Stock,10800.0
44,"DELL E2016HV 19.5"" LED MONITOR",10900,STARTECH,Monitor,In Stock,10900.0
45,DELL D1918H 18.5 INCH LED MONITOR (VGA HDMI),10900,STARTECH,Monitor,In Stock,10900.0
