,Product_Title,Price,Shop_Name,Category,Availability,G-Price
239,MICROSOFT SURFACE PRO X KEYBOARD WITH SLIM PEN BUNDLE,29500,COMPUTER VILLAGE,Keyboard,In Stock,29500.0
285,APPLE MAGIC KEYBOARD WITH TOUCH ID #MK293LL/A,21000,RYANS,Keyboard,In Stock,21000.0
503,APPLE MAGIC WIRELESS KEYBOARD FOR 4RD GEN IPAD PRO (WHITE),39999,COMPUTER VILLAGE,Keyboard,In Stock,39999.0
504,APPLE MAGIC WIRELESS KEYBOARD FOR 3RD GEN IPAD PRO AND 4TH GEN IPAD AIR (WHITE),33000,COMPUTER VILLAGE,Keyboard,In Stock,33000.0
505,APPLE SMART KEYBOARD FOLIO FOR 12.9 INCH IPAD PRO (3RD & 4TH GEN) GRAY,20000,COMPUTER VILLAGE,Keyboard,In Stock,20000.0
506,APPLE SMART FOLIO CHARCOAL GRAY KEYBOARD,20000,COMPUTER VILLAGE,Keyboard,In Stock,20000.0
507,APPLE SMART KEYBOARD FOLIO FOR 11 INCH IPAD PRO BLACK,20000,COMPUTER VILLAGE,Keyboard,In Stock,20000.0
1009,MICROSOFT SURFACE PRO 8 TYPE COVER (QJW-00001),20000,STARTECH,Keyboard,In Stock,20000.0
1012,MICROSOFT SURFACE PRO SIGNATURE KEYBOARD WITH SLIM PEN,34000,STARTECH,Keyboard,In Stock,34000.0
1074,ASUS MA02 ROG CLAYMORE II MODULAR TKL MECHANICAL BLUE SWITCH GAMING KEYBOARD,20000,Skyland,Keyboard,In Stock,20000.0
1084,APPLE SMART KEYBOARD FOLIO FOR 12.9 INCH IPAD PRO CHARCOAL GRAY #MU8H2LL/A MU8H2Y/A,20000,RYANS,Keyboard,In Stock,20000.0
1085,MICROSOFT SURFACE PRO BLACK ULTRA-SLIM & COMPACT KEYBOARD (FOR SURFACE PRO X & 8),20000,RYANS,Keyboard,In Stock,20000.0
1086,APPLE SMART KEYBOARD FOLIO FOR 12.9 INCH IPAD PRO (3RD/4TH/5TH GEN) GRAY #MXNL2LL/A MXNL2ZA/A,24000,RYANS,Keyboard,In Stock,24000.0
1310,KEYCHRON Q2 QMK CUSTOM MECHANICAL KEYBOARD (FULLY ASSEMBLED KNOB),20000,Skyland,Keyboard,In Stock,20000.0
1325,ASUS MA02 ROG CLAYMORE II MODULAR TKL MECHANICAL RED SWITCH GAMING KEYBOARD,21700,Skyland,Keyboard,In Stock,21700.0
