,Product_Title,Price,Shop_Name,Category,Availability,G-Price
188,ASUS PROART DISPLAY PA32UCR-K 32 INCH 4K IPS MINI-LED PROFESSIONAL MONITOR,240000,TECHLAND,Monitor,In Stock,240000.0
420,LG ULTRAFINE 32EP950-B 31.5 INCH 4K HDR OLED MONITOR,432500,TECHLAND,Monitor,In Stock,432500.0
429,BENQ SW321C 32 INCH 4K IPS PHOTO AND VIDEO EDITING MONITOR,240000,TECHLAND,Monitor,In Stock,240000.0
557,BENQ SW321C 32 INCH 4K (3840X2160) PROFESSIONAL MONITOR,240000,RYANS,Monitor,In Stock,240000.0
558,LG 27EP950-B 27 INCH 4K OLED BLACK HDMI DP USB-C PROFESSIONAL MONITOR,302500,RYANS,Monitor,In Stock,302500.0
611,LG 32EP950-B 32 INCH 4K OLED BLACK HDMI DUAL DP USB TYPE-C PROFESSIONAL MONITOR,432500,RYANS,Monitor,In Stock,432500.0
668,"APPLE STUDIO DISPLAY 27"" STANDARD GLASS 5K RETINA DISPLAY MONITOR (MK0U3ZP/A)",235000,STARTECH,Monitor,In Stock,235000.0
669,"BENQ SW321C 32"" 4K UHD IPS PHOTOGRAPHER MONITOR",240000,STARTECH,Monitor,In Stock,240000.0
670,LG 27EP950-B 27 INCH ULTRAFINE OLED PRO 4K PROFESSIONAL MONITOR,302500,STARTECH,Monitor,In Stock,302500.0
671,LG 32EP950-B 32 INCH ULTRAFINE OLED PRO 4K PROFESSIONAL MONITOR,432500,STARTECH,Monitor,In Stock,432500.0
728,ASUS PROART DISPLAY PA32UCR-K 32 INCH 4K IPS MINI-LED PROFESSIONAL MONITOR,240000,Skyland,Monitor,In Stock,240000.0
734,LG 32EP950-B 32 INCH ULTRAFINE OLED PRO 4K PROFESSIONAL MONITOR,445000,Skyland,Monitor,In Stock,445000.0
754,LG 27EP950-B 27 INCH ULTRAFINE OLED PRO 4K PROFESSIONAL MONITOR,310000,Skyland,Monitor,In Stock,310000.0
772,LG ULTRAFINE 27EP950-B 26.9 INCH 4K HDR OLED MONITOR,302800,TECHLAND,Monitor,In Stock,302800.0
920,BENQ SW321C 32” 4K UHD IPS PHOTOGRAPHER MONITOR,248000,Skyland,Monitor,In Stock,248000.0
960,ASUS PROART DISPLAY PA32UCX-PK 32″ 4K HDR IPS MONITOR,325000,Skyland,Monitor,Out of stock,325000.0
1061,DELL C5518QT 55 INCH IPS LED TOUCHSCREEN DISPLAY MONITOR,362000,Skyland,Monitor,Out of stock,362000.0
