,Product_Title,Price,Shop_Name,Category,Availability,G-Price
195,CORSAIR K70 RGB MK.2 RAPIDFIRE MECHANICAL GAMING KEYBOARD CHERRY MX SPEED,15000,TECHLAND,Keyboard,In Stock,15000.0
240,MICROSOFT SURFACE PRO SIGNATURE TYPE COVER ICE BLUE,15000,COMPUTER VILLAGE,Keyboard,In Stock,15000.0
241,MICROSOFT SURFACE PRO SIGNATURE TYPE COVER POPPY RED,15000,COMPUTER VILLAGE,Keyboard,In Stock,15000.0
285,APPLE MAGIC KEYBOARD WITH TOUCH ID #MK293LL/A,21000,RYANS,Keyboard,In Stock,21000.0
347,ASUS ROG CLAYMORE II MODULAR TKL MECHANICAL GAMING KEYBOARD (RED SWITCH),18900,TECHLAND,Keyboard,In Stock,18900.0
348,ASUS ROG CLAYMORE II MODULAR TKL MECHANICAL GAMING KEYBOARD (BLUE SWITCH),18900,TECHLAND,Keyboard,In Stock,18900.0
475,CORSAIR K70 RGB SE CHERRY MX SPEED MECHANICAL GAMING KEYBOARD,16000,TECHLAND,Keyboard,In Stock,16000.0
496,ASUS ROG CLAYMORE CHERRY MX SWITCH MECHANICAL GAMING KEYBOARD,17500,Skyland,Keyboard,In Stock,17500.0
505,APPLE SMART KEYBOARD FOLIO FOR 12.9 INCH IPAD PRO (3RD & 4TH GEN) GRAY,20000,COMPUTER VILLAGE,Keyboard,In Stock,20000.0
506,APPLE SMART FOLIO CHARCOAL GRAY KEYBOARD,20000,COMPUTER VILLAGE,Keyboard,In Stock,20000.0
507,APPLE SMART KEYBOARD FOLIO FOR 11 INCH IPAD PRO BLACK,20000,COMPUTER VILLAGE,Keyboard,In Stock,20000.0
511,ASUS ROG CLAYMORE MA01 RGB MECHANICAL GAMING KEYBOARD,17500,COMPUTER VILLAGE,Keyboard,In Stock,17500.0
514,ASUS M601 ROG FALCHION RGB MECHANICAL GAMING KEYBOARD,14000,COMPUTER VILLAGE,Keyboard,In Stock,14000.0
568,EVGA Z20 RGB OPTICAL MECHANICAL KEYBOARD,13800,TECHLAND,Keyboard,In Stock,13800.0
580,ASUS M601 ROG FALCHION RGB MECHANICAL GAMING KEYBOARD,14000,Skyland,Keyboard,In Stock,14000.0
673,CORSAIR K70 RGB TKL MECHANICAL GAMING KEYBOARD WITH CHERRY MX SPEED SWITCHES,13500,TECHLAND,Keyboard,In Stock,13500.0
674,CORSAIR K70 RGB MK.2 MECHANICAL GAMING KEYBOARD CHERRY MX RED,16500,TECHLAND,Keyboard,In Stock,16500.0
677,ASUS ROG FALCHION NX WIRELESS RGB MECHANICAL GAMING KEYBOARD,13500,TECHLAND,Keyboard,In Stock,13500.0
678,APPLE MAGIC KEYBOARD WITH NUMERIC KEYPAD (SILVER),13500,TECHLAND,Keyboard,In Stock,13500.0
906,CORSAIR K95 RGB PLATINUM MECHANICAL GAMING KEYBOARD CHERRY MX-SPEED KEY SWITCHES BROWN,17000,TECHLAND,Keyboard,In Stock,17000.0
907,CORSAIR K95 RGB PLATINUM MECHANICAL GAMING KEYBOARD (CHERRY MX SPEED) -GUNMETAL,16700,TECHLAND,Keyboard,In Stock,16700.0
908,CORSAIR K95 RGB PLATINUM MECHANICAL GAMING KEYBOARD (CHERRY MX SPEED),16700,TECHLAND,Keyboard,In Stock,16700.0
997,THERMALTAKE LEVEL 20 RGB CHERRY MX SPEED SILVER GAMING KEYBOARD (GERMAN LAYOUT),15000,TECHLAND,Keyboard,In Stock,15000.0
999,ASUS M601 ROG FALCHION RGB MECHANICAL GAMING KEYBOARD,14000,STARTECH,Keyboard,In Stock,14000.0
1000,KEYCHRON Q1 QMK CUSTOM HOT-SWAPPABLE BROWN SWITCH MECHANICAL KEYBOARD (FULLY ASSEMBLED VERSION),15000,STARTECH,Keyboard,In Stock,15000.0
1001,KEYCHRON Q1 QMK CUSTOM HOT-SWAPPABLE RED SWITCH MECHANICAL KEYBOARD (FULLY ASSEMBLED VERSION),15000,STARTECH,Keyboard,In Stock,15000.0
1002,CORSAIR K70 RGB RAPIDFIRE MECHANICAL GAMING KEYBOARD CHERRY MX-LOW PROFILE SPEED,16000,STARTECH,Keyboard,In Stock,16000.0
1003,CORSAIR K70 RGB MECHANICAL GAMING KEYBOARD CHERRY MX SPEED,16000,STARTECH,Keyboard,In Stock,16000.0
1004,CORSAIR K95 RGB PLATINUM MECHANICAL GAMING KEYBOARD CHERRY MX-SPEED KEY SWITCHES BROWN,16000,STARTECH,Keyboard,In Stock,16000.0
1005,CORSAIR K95 RGB PLATINUM MECHANICAL GAMING TASTATUR KEYBOARD GUN METAL CHERRY MX-SPEED KEY,16000,STARTECH,Keyboard,In Stock,16000.0
1006,CORSAIR K70 RGB MK.2 LOW PROFILE MECHANICAL GAMING KEYBOARD CHERRY MX-LOW PROFILE RED,16000,STARTECH,Keyboard,In Stock,16000.0
1007,CORSAIR K70 RGB TKL CHAMPION SERIES MECHANICAL GAMING KEYBOARD,16000,STARTECH,Keyboard,In Stock,16000.0
1008,CORSAIR K95 RGB PLATINUM MECHANICAL GAMING KEYBOARD WITH CHERRY MX-SPEED KEY ,16500,STARTECH,Keyboard,In Stock,16500.0
1009,MICROSOFT SURFACE PRO 8 TYPE COVER (QJW-00001),20000,STARTECH,Keyboard,In Stock,20000.0
1010,ASUS ROG CLAYMORE II MODULAR TKL MECHANICAL BLUE SWITCH GAMING KEYBOARD,18900,STARTECH,Keyboard,In Stock,18900.0
1011,ASUS ROG CLAYMORE II MODULAR TKL MECHANICAL RED SWITCH GAMING KEYBOARD,18900,STARTECH,Keyboard,In Stock,18900.0
1026,THERMALTAKE LEVEL 20 RGB CHERRY MX BLUE WIRED GAMING MECHANICAL BLACK KEYBOARD #KB-LVT-BLBRUS-01,14700,RYANS,Keyboard,In Stock,14700.0
1027,THERMALTAKE LEVEL 20 RGB RAZER GREEN WIRED GAMING MECHANICAL BLACK KEYBOARD #KB-LVT-RGBRUS-01,14700,RYANS,Keyboard,In Stock,14700.0
1028,THERMALTAKE LEVEL 20 RGB CHERRY MX BLUE WIRED GAMING KEYBOARD #KB-LVT-BLSRUS-01,15000,RYANS,Keyboard,In Stock,15000.0
1029,CORSAIR K70 RGB MK.2 WIRED MECHANICAL (CHERRY MX LOW PROFILE RED SWITCH) RGB BACKLIGHT GAMING KEYBOARD #CH-9109017-NA,15000,RYANS,Keyboard,In Stock,15000.0
1030,CORSAIR K70 RGB MK.2 SE WIRED MECHANICAL RGB BACKLIGHT GAMING KEYBOARD #CH-9109114-NA,15000,RYANS,Keyboard,In Stock,15000.0
1031,CORSAIR K70 RGB MK.2 RAPIDFIRE WIRED MECHANICAL RGB BACKLIGHT GAMING KEYBOARD #CH-9109018-NA,15000,RYANS,Keyboard,In Stock,15000.0
1032,THERMALTAKE LEVEL 20 RGB CHERRY MX SPEED SILVER WIRED GAMING MECHANICAL SPACE GRAY KEYBOARD #KB-LVT-SSSRUS-01,15700,RYANS,Keyboard,In Stock,15700.0
1033,CORSAIR K95 RGB PLATINUM MECHANICAL USB GUNMETAL GAMING KEYBOARD #CH-9127114-NA,16000,RYANS,Keyboard,In Stock,16000.0
1046,THERMALTAKE ARGENT K5 RGB GAMING KEYBOARD CHERRY MX SPEED SILVER,15000,TECHLAND,Keyboard,In Stock,15000.0
1069,STEELSERIES APEX 7 KB-00010 RGB MECHANICAL GAMING KEYBOARD,19900,Skyland,Keyboard,In Stock,19900.0
1074,ASUS MA02 ROG CLAYMORE II MODULAR TKL MECHANICAL BLUE SWITCH GAMING KEYBOARD,20000,Skyland,Keyboard,In Stock,20000.0
1079,CORSAIR K95 RGB PLATINUM MECHANICAL (CHERRY MX BROWN SWITCH) BLACK GAMING KEYBOARD #CH-9127012-NA,16000,RYANS,Keyboard,In Stock,16000.0
1080,CORSAIR K95 RGB PLATINUM MECHANICAL (CHERRY MX SPEED SWITCH) BLACK GAMING KEYBOARD #CH-9127014-NA,17500,RYANS,Keyboard,In Stock,17500.0
1081,CORSAIR K100 RGB WIRED MECHANICAL (CHERRY MX SPEED SWITCH) RGB BLACK GAMING KEYBOARD #CH-912A014-NA,19000,RYANS,Keyboard,In Stock,19000.0
1082,CORSAIR K100 RGB WIRED BLACK RGB BACKLIGHT GAMING KEYBOARD #CH-912A01A-NA,19500,RYANS,Keyboard,In Stock,19500.0
1083,APPLE SMART KEYBOARD FOLIO FOR 11 INCH IPAD PRO BLACK #MU8G2LL/A MXNK2ZA/A,19800,RYANS,Keyboard,In Stock,19800.0
1084,APPLE SMART KEYBOARD FOLIO FOR 12.9 INCH IPAD PRO CHARCOAL GRAY #MU8H2LL/A MU8H2Y/A,20000,RYANS,Keyboard,In Stock,20000.0
1085,MICROSOFT SURFACE PRO BLACK ULTRA-SLIM & COMPACT KEYBOARD (FOR SURFACE PRO X & 8),20000,RYANS,Keyboard,In Stock,20000.0
1086,APPLE SMART KEYBOARD FOLIO FOR 12.9 INCH IPAD PRO (3RD/4TH/5TH GEN) GRAY #MXNL2LL/A MXNL2ZA/A,24000,RYANS,Keyboard,In Stock,24000.0
1141,CORSAIR K70 RGB MK.2 CHERRY MX RED SWITCH MECHANICAL GAMING KEYBOARD,15500,TECHLAND,Keyboard,In Stock,15500.0
1142,CORSAIR K100 RGB MECHANICAL CHERRY MX SPEED GAMING KEYBOARD (BLACK),18500,TECHLAND,Keyboard,In Stock,18500.0
1155,CORSAIR K70 RGB SE CHERRY MX SPEED MECHANICAL GAMING KEYBOARD,16600,Skyland,Keyboard,In Stock,16600.0
1163, THERMALTAKE LEVEL 20 RGB TITANIUM CHERRY MX SPEED SILVER GAMING KEYBOARD,16000,TECHLAND,Keyboard,In Stock,16000.0
1164, THERMALTAKE LEVEL 20 RGB RAZER GREEN GAMING KEYBOARD,15000,TECHLAND,Keyboard,In Stock,15000.0
1165, THERMALTAKE LEVEL 20 RGB CHERRY MX BLUE GAMING KEYBOARD,15000,TECHLAND,Keyboard,In Stock,15000.0
1190,RAZER HUNTSMAN ELITE OPTO-MECHANICAL SWITCH GAMING KEYBOARD – PURPLE SWITCH,17300,Skyland,Keyboard,In Stock,17300.0
1240,CORSAIR K70 RGB MK.2 LOW PROFILE RAPIDFIRE MECHANICAL GAMING KEYBOARD CHERRY MX LOW PROFILE SPEED,16000,TECHLAND,Keyboard,In Stock,16000.0
1247,CORSAIR K100 RGB OPTICAL-MECHANICAL OPX SWITCH GAMING KEYBOARD (BLACK),18500,TECHLAND,Keyboard,In Stock,18500.0
1310,KEYCHRON Q2 QMK CUSTOM MECHANICAL KEYBOARD (FULLY ASSEMBLED KNOB),20000,Skyland,Keyboard,In Stock,20000.0
1315,KEYCHRON Q2 QMK CUSTOM MECHANICAL KEYBOARD (BAREBONE KNOB),18000,Skyland,Keyboard,In Stock,18000.0
1316,KEYCHRON Q1 QMK CUSTOM MECHANICAL KEYBOARD (PRE BUILT),17500,Skyland,Keyboard,In Stock,17500.0
1317,KEYCHRON Q1 QMK MECHANICAL KEYBOARD (BAREBONE),14500,Skyland,Keyboard,In Stock,14500.0
1321,GLORIOUS GMMK 2 65% MECHANICAL GAMING KEYBOARD,14000,Skyland,Keyboard,In Stock,14000.0
1324,ASUS M601 ROG FALCHION WIRELESS 65% MECHANICAL GAMING KEYBOARD,14000,Skyland,Keyboard,In Stock,14000.0
1325,ASUS MA02 ROG CLAYMORE II MODULAR TKL MECHANICAL RED SWITCH GAMING KEYBOARD,21700,Skyland,Keyboard,In Stock,21700.0
1397,THERMALTAKE LEVEL 20 RGB CHERRY MX BLUE GAMING KEYBOARD,15000,Skyland,Keyboard,In Stock,15000.0
1398,THERMALTAKE LEVEL 20 RGB RAZER GREEN GAMING KEYBOARD,15000,Skyland,Keyboard,In Stock,15000.0
1399,THERMALTAKE LEVEL 20 RGB TITANIUM CHERRY MX SPEED SILVER GAMING KEYBOARD,16000,Skyland,Keyboard,In Stock,16000.0
1400,THERMALTAKE ARGENT K5 RGB GAMING KEYBOARD CHERRY MX SPEED SILVER,15000,Skyland,Keyboard,In Stock,15000.0
1401,THERMALTAKE LEVEL 20 RGB CHERRY MX SPEED SILVER GAMING KEYBOARD (GERMAN LAYOUT),16000,Skyland,Keyboard,In Stock,16000.0
1402,THERMALTAKE LEVEL 20 RGB TITANIUM CHERRY MX BLUE GAMING KEYBOARD,15000,Skyland,Keyboard,In Stock,15000.0
1419,CORSAIR K95 RGB PLATINUM MECHANICAL GAMING TASTATUR KEYBOARD GUN METAL CHERRY MX-SPEED KEY,16000,Skyland,Keyboard,In Stock,16000.0
1422,CORSAIR K95 RGB PLATINUM MECHANICAL GAMING KEYBOARD CHERRY MX-SPEED KEY SWITCHES BROWN,16000,Skyland,Keyboard,In Stock,16000.0
1423,CORSAIR K95 RGB PLATINUM MECHANICAL GAMING KEYBOARD WITH CHERRY MX-SPEED KEY,16000,Skyland,Keyboard,In Stock,16000.0
1424,CORSAIR K70 RGB MK.2 LOW PROFILE MECHANICAL GAMING KEYBOARD CHERRY MX-LOW PROFILE RED,15000,Skyland,Keyboard,In Stock,15000.0
1425,CORSAIR K70 RGB RAPIDFIRE MECHANICAL GAMING KEYBOARD CHERRY MX-LOW PROFILE SPEED,15000,Skyland,Keyboard,In Stock,15000.0
1486,RAZER HUNTSMAN ELITE OPTO-MECHANICAL SWITCH GAMING KEYBOARD – RED SWITCH,17300,Skyland,Keyboard,In Stock,17300.0
1491,ASUS ROG STRIX FLARE XA01 RGB MECHANICAL GAMING KEYBOARD,14500,Skyland,Keyboard,In Stock,14500.0
