,Product_Title,Price,Shop_Name,Category,Availability,G-Price
0,DELUX M700A 7200DPI LIGHTWEIGHT RGB GAMING MOUSE,650,TECHLAND,Mouse,In Stock,650.0
1,LOGITECH M187 ULTRA PORTABLE WIRELESS MOUSE ,1300,TECHLAND,Mouse,In Stock,1300.0
2,LOGITECH M235 WIRELESS MOUSE ,1599,TECHLAND,Mouse,In Stock,1599.0
3,LOGITECH M190 PORTABLE WIRELESS MOUSE,1249,TECHLAND,Mouse,In Stock,1249.0
4,LOGITECH B175 WIRELESS MOUSE,950,TECHLAND,Mouse,In Stock,950.0
5,MSI M99 WIRED RGB ERGONOMIC GAMING MOUSE ,749,TECHLAND,Mouse,In Stock,749.0
6,RAZER DEATHADDER ESSENTIAL MOUSE + RAZER GOLIATHUS SPEED PIKACHU LIMITED EDITION MOUSE PAD COMBO,4750,TECHLAND,Mouse,In Stock,4750.0
7,REDRAGON M908 IMPACT MMO GAMING MOUSE ,2250,TECHLAND,Mouse,In Stock,2250.0
8,LOGITECH M350 WIRELESS MOUSE (ROSE),2422,TECHLAND,Mouse,In Stock,2422.0
9,LOGITECH MX MASTER 3 ADVANCED WIRELESS 7 BUTTON MOUSE,9500,TECHLAND,Mouse,In Stock,9500.0
10,LOGITECH B170 WIRELESS MOUSE,950,TECHLAND,Mouse,In Stock,950.0
11,GIGABYTE AORUS M2 6400 DPI OPTICAL RGB GAMING MOUSE,1350,TECHLAND,Mouse,In Stock,1350.0
12,LOGITECH M350 WIRELESS MOUSE (WHITE),2422,TECHLAND,Mouse,In Stock,2422.0
13,LOGITECH M337 WIRELESS RUBBER GRIP BLUETOOTH MOUSE,2230,TECHLAND,Mouse,In Stock,2230.0
14,LOGITECH M350 WIRELESS MOUSE (GRAPHITE),2422,TECHLAND,Mouse,In Stock,2422.0
15,LOGITECH G502 HERO HIGH PERFORMANCE RGB GAMING MOUSE,5209,TECHLAND,Mouse,In Stock,5209.0
16,NZXT LIFT LIGHTWEIGHT AMBIDEXTROUS RGB OPTICAL GAMING MOUSE,4700,STARTECH,Mouse,In Stock,4700.0
17,XTRIKE ME KB-508 GAMING KEYBOARD AND GM-310 RGB GAMING MOUSE COMBO,2700,STARTECH,Mouse,In Stock,2700.0
18,LOGITECH SIGNATURE M650 WIRELESS MOUSE,3299,STARTECH,Mouse,In Stock,3299.0
19,LOGITECH G304 HERO LIGHTSPEED WIRELESS GAMING MOUSE,3900,STARTECH,Mouse,In Stock,3900.0
20,XTRIKE ME KB-508 GAMING KEYBOARD AND GM-414 RGB GAMING MOUSE COMBO,2650,STARTECH,Mouse,In Stock,2650.0
21,XTRIKE ME KB-508 GAMING KEYBOARD AND GM-512 RGB GAMING MOUSE COMBO,2650,STARTECH,Mouse,In Stock,2650.0
22,XTRIKE ME KB-508 GAMING KEYBOARD AND GMP-290 RGB GAMING MOUSE & MOUSE PAD COMBO,2350,STARTECH,Mouse,In Stock,2350.0
24,LOGITECH M590 MULTI-DEVICE SILENT BLUETOOTH & WIRELESS MOUSE,2899,STARTECH,Mouse,In Stock,2899.0
25,REDRAGON M612 PREDATOR 11 PROGRAMMABLE BUTTONS RGB GAMING MOUSE,1600,STARTECH,Mouse,In Stock,1600.0
27,ASTRUM MU080 WIRED OPTICAL USB MOUSE,200,STARTECH,Mouse,In Stock,200.0
28,MICROPACK M101 OPTICAL USB MOUSE,425,STARTECH,Mouse,In Stock,425.0
29,MICROPACK M103 OPTICAL USB MOUSE,425,STARTECH,Mouse,In Stock,425.0
30,A4TECH FSTYLER FB10C DUAL MODE RECHARGEABLE WIRELESS MOUSE,1199,STARTECH,Mouse,In Stock,1199.0
31,WALTON WMS024WN USB MOUSE,250,STARTECH,Mouse,In Stock,250.0
32,HAVIT HV-MS689 USB OPTICAL MOUSE,250,STARTECH,Mouse,In Stock,250.0
33,MOTOSPEED F303 USB OPTICAL MOUSE,275,STARTECH,Mouse,In Stock,275.0
34,DELUX M331BU WIRED OPTICAL MOUSE,300,STARTECH,Mouse,In Stock,300.0
35,GOLDEN FIELD GF-M101 USB OPTICAL MOUSE,300,STARTECH,Mouse,In Stock,300.0
36,COOLER MASTER CM110 WIRED BLACK GAMING MOUSE #CM-110-KKWO1,2300,RYANS,Mouse,In Stock,2300.0
37,COOLER MASTER CM310 RGB WIRED GAMING MOUSE #CM-310-KKWO2,2500,RYANS,Mouse,In Stock,2500.0
38,MICROPACK M103 BLACK OPTICAL USB MOUSE,325,RYANS,Mouse,In Stock,325.0
39,HAVIT MS81 WIRED BLACK OPTICAL MOUSE,375,RYANS,Mouse,In Stock,375.0
40,RAPOO N100 USB OPTICAL BLACK MOUSE,375,RYANS,Mouse,In Stock,375.0
41,RAPOO N200 USB OPTICAL BLACK MOUSE,375,RYANS,Mouse,In Stock,375.0
42,A4TECH OP-620D USB OPTICAL MOUSE,399,RYANS,Mouse,In Stock,399.0
43,LENOVO 300 USB WIRED BLACK MOUSE #GX30M39704-3Y,400,RYANS,Mouse,In Stock,400.0
44,HAVIT MS858GT WIRELESS OPTICAL BLACK MOUSE,425,RYANS,Mouse,In Stock,425.0
45,CROWN MICRO CMM-956W WIRELESS MOUSE,600,RYANS,Mouse,In Stock,600.0
46,A4TECH G3-280/280N GLOSSY GRAY WIRELESS MOUSE,670,RYANS,Mouse,In Stock,670.0
47,LENOVO 130 WIRELESS BLACK MOUSE #GY51C12380-3Y,700,RYANS,Mouse,In Stock,700.0
48,A4TECH G3-200/200N BLACK WIRELESS MOUSE,700,RYANS,Mouse,In Stock,700.0
49,CROWN MICRO CMM-961W WIRELESS MOUSE,700,RYANS,Mouse,In Stock,700.0
50,HAVIT MS1005 RGB OPTICAL BLACK GAMING MOUSE,750,RYANS,Mouse,In Stock,750.0
51,LENOVO 300 WIRELESS BLACK COMPACT MOUSE #GX30K79401-3Y,900,RYANS,Mouse,In Stock,900.0
52,CROWN MICRO CMM-918W WIRELESS MOUSE,900,RYANS,Mouse,In Stock,900.0
53,LOGITECH M170 WIRELESS MOUSE,949,RYANS,Mouse,In Stock,949.0
54,HAVIT MS732 WIRED RGB BLACK GAMING MOUSE,950,RYANS,Mouse,In Stock,950.0
55,RAPOO 3510 PLUS WIRELESS OPTICAL GREY MOUSE,990,RYANS,Mouse,In Stock,990.0
56,RAZER VIPER MINI ULTRA-LIGHTWEIGHT CHROMA RGB GAMING MOUSE,2700,Skyland,Mouse,In Stock,2700.0
57,GIGABYTE AORUS M2 6200 DPI OPTICAL RGB GAMING MOUSE,1350,Skyland,Mouse,In Stock,1350.0
58,RAZER DEATHADDER ESSENTIAL GAMING MOUSE,1650,Skyland,Mouse,In Stock,1650.0
59,CORSAIR KATAR PRO ULTRA-LIGHT GAMING MOUSE,1700,Skyland,Mouse,In Stock,1700.0
60,LOGITECH G402 HYPERION FURY ULTRA FAST FPS GAMING MOUSE,3500,Skyland,Mouse,In Stock,3500.0
61,LOGITECH G304 LIGHTSPEED WIRELESS GAMING MOUSE (BLACK),3599,Skyland,Mouse,In Stock,3599.0
63,DELUX M700 7200DPI LIGHTWEIGHT RGB GAMING MOUSE,1400,Skyland,Mouse,In Stock,1400.0
64,REDRAGON PREDATOR M612 RGB WIRED GAMING MOUSE,1300,Skyland,Mouse,In Stock,1300.0
65,DELUX M321 OPTICAL WIRED MOUSE,350,Skyland,Mouse,In Stock,350.0
