Product_Title,Price,Shop_Name,Category,Availability,G-Price
ZADAK SPARK RGB 8GB DDR4 3200MHZ DESKTOP GAMING RAM,4500,TECHLAND,Ram,In Stock,4500.0
CORSAIR VENGEANCE LPX 8GB DDR4 3600MHZ DESKTOP RAM,3900,TECHLAND,Ram,In Stock,3900.0
CORSAIR VENGEANCE LPX 32GB (2 X 16) DDR4 3600MHZ DESKTOP RAM,15600,TECHLAND,Ram,In Stock,15600.0
CORSAIR VENGEANCE LPX 16GB DDR4 3200MHZ DESKTOP RAM,6600,TECHLAND,Ram,In Stock,6600.0
CORSAIR VENGEANCE LPX 8GB DDR4 3200MHZ DESKTOP RAM,3700,TECHLAND,Ram,In Stock,3700.0
APACER NOX 8GB DDR4 3200MHZ RGB AURA2 DIMM DESKTOP RAM,4400,TECHLAND,Ram,In Stock,4400.0
SILICON POWER XPOWER TURBINE 8GB 3200MHZ DDR4 UDIMM GAMING RAM,4500,TECHLAND,Ram,In Stock,4500.0
SILICON POWER XPOWER TURBINE 32GB (16 X 2) 3200MHZ DDR4 UDIMM GAMING RAM,16200,TECHLAND,Ram,In Stock,16200.0
SILICON POWER XPOWER TURBINE 16GB 3200MHZ DDR4 UDIMM GAMING RAM,8200,TECHLAND,Ram,In Stock,8200.0
SILICON POWER XPOWER TURBINE 16GB (8 X 2) 3200MHZ DDR4 UDIMM GAMING RAM,8700,TECHLAND,Ram,In Stock,8700.0
G.SKILL TRIDENT Z NEO 64GB (2 X 32GB) 3600MHZ RGB DDR4 RAM,29700,TECHLAND,Ram,In Stock,29700.0
G.SKILL TRIDENT Z ROYAL SERIES 32GB (2X16GB) 3200MHZ RGB SILVER DDR4 RAM,17200,TECHLAND,Ram,In Stock,17200.0
G.SKILL TRIDENT Z ROYAL SERIES 16GB 3200MHZ RGB SILVER DDR4 RAM,8600,TECHLAND,Ram,In Stock,8600.0
TEAM ELITE U-DIMM 8GB DDR3 1600MHZ DESKTOP RAM,3000,TECHLAND,Ram,In Stock,3000.0
ULTRADISK 8GB DDR4 2666MHZ DESKTOP RAM,2850,TECHLAND,Ram,In Stock,2850.0
ULTRADISK 4GB DDR4 2666MHZ DESKTOP RAM,1850,TECHLAND,Ram,In Stock,1850.0
TWINMOS 4GB DDR3 1333 BUS DESKTOP RAM,1700,RYANS,Ram,In Stock,1700.0
TWINMOS 4GB DDR3 1600 BUS DESKTOP RAM,1700,RYANS,Ram,In Stock,1700.0
GEIL PRISTINE 4GB DDR3 1600MHZ DESKTOP RAM #GP34GB1600C11SC,1800,RYANS,Ram,In Stock,1800.0
ADATA PREMIER 4GB DDR4 2666MHZ DESKTOP RAM #AD4U2666J4G19-R / AD4U26664G19-RGN,1850,RYANS,Ram,In Stock,1850.0
TWINMOS 4GB DDR4 2400MHZ DESKTOP RAM,1950,RYANS,Ram,In Stock,1950.0
APACER 4GB DDR3 1600MHZ DESKTOP RAM #DG.04G2K.KAM / AU04GFA60CATBGJ,2050,RYANS,Ram,In Stock,2050.0
TWINMOS 4GB DDR4 3200MHZ U-DIMM DESKTOP RAM,2100,RYANS,Ram,In Stock,2100.0
G.SKILL 4GB DDR4 2400MHZ DESKTOP RAM,2200,RYANS,Ram,In Stock,2200.0
G.SKILL RIPJAWS V 4GB DDR4 2400MHZ RED HEATSINK DESKTOP RAM,2400,RYANS,Ram,In Stock,2400.0
